0 0.785398 0
0.2 0.771289 -0.140753
0.4 0.729367 -0.277452
0.6 0.660861 -0.40585
0.8 0.567882 -0.521412
1 0.453469 -0.619397
1.2 0.321606 -0.695158
1.4 0.17716 -0.744636
1.6 0.0257009 -0.764935
1.8 -0.126781 -0.754808
2 -0.274232 -0.71488
2.2 -0.410903 -0.64754
2.4 -0.531667 -0.556518
2.6 -0.632232 -0.446327
2.8 -0.709237 -0.32172
3 -0.760268 -0.187322
3.2 -0.783803 -0.0474726
3.4 -0.779167 0.0937279
3.6 -0.74649 0.232249
3.8 -0.686723 0.363926
4 -0.601671 0.484322
4.2 -0.494059 0.588742
4.4 -0.367555 0.672461
4.6 -0.226745 0.731159
4.8 -0.0769866 0.761487
5 0.0758318 0.761603
5.2 0.225636 0.731499
5.4 0.366535 0.673005
5.6 0.493166 0.589461
5.8 0.600936 0.48518
6 0.68617 0.364887
6.2 0.746137 0.233279
6.4 0.779024 0.0947935
6.6 0.783874 -0.046402
6.8 0.760551 -0.186277
7 0.709724 -0.320733
7.2 0.632908 -0.445431
7.4 0.53251 -0.555749
7.6 0.411884 -0.646933
7.8 0.275315 -0.714469
8 0.127926 -0.754615
8.2 -0.0245408 -0.764973
8.4 -0.176031 -0.744902
8.6 -0.320552 -0.695636
8.8 -0.452529 -0.62006
9 -0.567091 -0.522227
9.2 -0.660245 -0.40678
9.4 -0.728945 -0.278462
9.6 -0.771075 -0.14181
9.8 -0.785397 -0.0010723
10 -0.771502 0.139696
10.2 -0.729787 0.276441
10.4 -0.661476 0.404919
10.6 -0.568672 0.520596
10.8 -0.454407 0.618732
11 -0.32266 0.694678
11.2 -0.178289 0.744368
11.4 -0.0268608 0.764895
11.6 0.125636 0.754998
11.8 0.273147 0.71529
12 0.40992 0.648145
12.2 0.530823 0.557287
12.4 0.631554 0.447223
12.6 0.708749 0.322708
12.8 0.759983 0.188367
13 0.783731 0.0485432
13.2 0.779308 -0.0926623
13.4 0.746842 -0.231219
13.6 0.687274 -0.362964
13.8 0.602405 -0.483463
14 0.494951 -0.588022
14.2 0.368575 -0.671915
14.4 0.227853 -0.730817
14.6 0.0781413 -0.761369
14.8 -0.0746768 -0.761717
15 -0.224526 -0.731837
15.2 -0.365514 -0.673548
15.4 -0.492271 -0.590178
15.6 -0.6002 -0.486037
15.8 -0.685616 -0.365848
16 -0.745783 -0.234308
16.2 -0.778879 -0.0958588
16.4 -0.783944 0.0453313
16.6 -0.760833 0.185232
16.8 -0.71021 0.319744
17 -0.633583 0.444533
17.2 -0.533353 0.554979
17.4 -0.412865 0.646326
17.6 -0.276398 0.714056
17.8 -0.12907 0.754421
18 0.0233808 0.76501
18.2 0.174901 0.745167
18.4 0.319496 0.696113
18.6 0.451588 0.620723
18.8 0.566298 0.523041
19 0.659628 0.40771
19.2 0.728522 0.279472
19.4 0.770859 0.142866
19.6 0.785395 0.00214456
19.8 0.771713 -0.138638
20 0.730205 -0.27543
20.2 0.66209 -0.403987
20.4 0.569461 -0.519779
20.6 0.455345 -0.618066
20.8 0.323713 -0.694196
21 0.179418 -0.744098
21.2 0.0280207 -0.764854
21.4 -0.124491 -0.755188
21.6 -0.272062 -0.715698
21.8 -0.408937 -0.648748
22 -0.529977 -0.558054
22.2 -0.630875 -0.448118
22.4 -0.708259 -0.323695
22.6 -0.759696 -0.189412
22.8 -0.783656 -0.0496136
23 -0.779448 0.0915965
23.2 -0.747192 0.230189
23.4 -0.687824 0.362002
23.6 -0.603138 0.482604
23.8 -0.495842 0.587301
24 -0.369593 0.671368
24.2 -0.228961 0.730474
24.4 -0.0792958 0.76125
24.6 0.0735216 0.761829
24.8 0.223416 0.732174
25 0.364493 0.674089
25.2 0.491376 0.590894
25.4 0.599462 0.486893
25.6 0.685061 0.366808
25.8 0.745427 0.235337
26 0.778733 0.096924
26.2 0.784012 -0.0442606
26.4 0.761113 -0.184186
26.6 0.710694 -0.318755
26.8 0.634256 -0.443635
27 0.534194 -0.554207
27.2 0.413844 -0.645716
27.4 0.277481 -0.713641
27.6 0.130214 -0.754225
27.8 -0.0222206 -0.765044
28 -0.173771 -0.74543
28.2 -0.318441 -0.696589
28.4 -0.450646 -0.621384
28.6 -0.565505 -0.523854
28.8 -0.659009 -0.408639
29 -0.728098 -0.280481
29.2 -0.770642 -0.143923
29.4 -0.785391 -0.00321685
29.6 -0.771923 0.137581
29.8 -0.730622 0.274418
30 -0.662701 0.403054
30.2 -0.570249 0.518961
30.4 -0.456282 0.617398
30.6 -0.324765 0.693713
30.8 -0.180546 0.743827
31 -0.0291805 0.76481
31.2 0.123346 0.755375
31.4 0.270977 0.716105
